Year,Month,Sea Level
2017,1,1325.111111
2017,2,1260.607143
2017,3,1299.322581
2017,4,-8957.3
2017,5,1248.322581
2017,6,1196.466667
2017,7,1148.903226
2017,8,1126.935484
2017,9,1150.833333
2017,10,1234.096774
2017,11,193.2
2017,12,-14074.67742
2018,1,-8589.451613
2018,2,1266.464286
2018,3,1276.935484
2018,4,1305
2018,5,-11906.93548
2018,6,-10155.66667
2018,7,1096.709677
2018,8,1088.096774
2018,9,28.5
2018,10,-936.1935484
2018,11,1264.533333
2018,12,-5256.741935
2019,1,-8622.129032
2019,2,-10877.57143
2019,3,1269.064516
2019,4,140.5666667
2019,5,-15208.90323
2019,6,-29368.03333
2019,7,-29477.25806
2019,8,-18517.90323
2019,9,-19172
2019,10,-31671.80645
2019,11,-29360.43333
2019,12,-32767
2020,1,-8587.935484
2020,2,-1032.413793
2020,3,-869.9354839
2020,4,1331.9
2020,5,-8608.419355
2020,6,-3252.466667
2020,7,-6458.645161
2020,8,-8675
2020,9,1210.8
2020,10,1220.935484
2020,11,1378.833333
2020,12,1363.967742
2021,1,1406.903226
2021,2,1376.5
2021,3,1383.806452
2021,4,169.2333333
2021,5,1319.354839
2021,6,98.66666667
2021,7,1216.064516
2021,8,1179.225806
2021,9,1225.1
2021,10,165.516129
2021,11,-923.0666667
2021,12,1452.354839
2022,1,1373.483871
2022,2,1333.392857
2022,3,1301.548387
2022,4,1306.366667
2022,5,1252.322581
2022,6,1256.966667
2022,7,1177.709677
2022,8,1159.129032
2022,9,1191.2
2022,10,1246.903226
2022,11,1316
2022,12,1353.354839
2023,1,1335.548387
2023,2,1305.035714
2023,3,246.3870968
2023,4,1333.466667
2023,5,1255.806452
2023,6,1233.333333
2023,7,1121.870968
2023,8,1150.548387
2023,9,1213.133333
2023,10,1318.645161
2023,11,1294.2
2023,12,1213.193548
2024,1,1245.483871
2024,2,1292.931034
2024,3,-866.0322581
2024,4,-3219.3
2024,5,1305.064516
2024,6,1268.266667
2024,7,1224.709677
2024,8,1218.709677
2024,9,1209.6
2024,10,1248.16129
2024,11,1402.233333
2024,12,1415.709677
2025,1,1404.16129
2025,2,-2300.642857
2025,3,-10709.29032
2025,4,1356.933333
2025,5,1306.451613
2025,6,1263
2025,7,-8664.548387
2025,8,-16339.29032
2025,9,1274.6
2025,10,1310.193548
2025,11,1344.5
2025,12,1413.903226
2026,1,1355.903226
2026,2,1333.464286
2026,3,1332
2026,4,1344.566667
2026,5,1279.193548
2026,6,1283.866667
2026,7,-1036.677419
