Observation,Ellipsoidal_height_m,,,,bins ,frequency,normdis,,mean ,y
1,125.4314,number,100,,125.37,0,0.00,,125.43273,0
2,125.4334,min,125.3773,,125.38,1,0.003230598,,125.43273,60
3,125.4349,max,125.5028,,125.39,1,0.076452387,,median,y
4,125.4257,range,0.1255,,125.4,0,0.932410844,,125.4318,0
5,125.4308,am,125.43273,,125.41,0,5.860459203,,125.4318,60
6,125.4305,median,125.4318,,125.42,2,18.98296491,,,
7,125.4286,st.dev pop,0.012282235,,125.43,25,31.6887063,,,
8,125.4611,st.dev sample,0.012344111,,125.44,58,27.26170666,,,
9,125.4312,var p,0.000150853,,125.45,9,12.08675275,,,
10,125.4352,var s,0.000152377,,125.46,2,2.761686027,,,
11,125.4387,average,125.43273,,125.47,1,0.325197377,,,
12,125.4316,cov,0.00979189,,125.48,0,0.019734577,,,
13,125.4274,quartil 1,125.429525,,125.49,0,0.000617187,,,
14,125.4334,quartil 3,125.4359,,125.5,0,9.94749E-06,,,
15,125.4301,interquartil,0.006375,,125.51,1,8.26264E-08,,,
16,125.4298,,,,,0,,,,
17,125.4367,,,,,,,,,
18,125.433,,,,,,,,,
19,125.4319,,,,,,,,,
20,125.4244,,,,,,,,,
21,125.4447,,,,,,,,,
22,125.4325,,,,,,,,,
23,125.4273,,,,,,,,,
24,125.4292,,,,,,,,,
25,125.3879,,,,,,,,,
26,125.4359,,,,,,,,,
27,125.4303,,,,,,,,,
28,125.4286,,,,,,,,,
29,125.4223,,,,,,,,,
30,125.4242,,,,,,,,,
31,125.4331,,,,,,,,,
32,125.4297,,,,,,,,,
33,125.4462,,,,,,,,,
34,125.4323,,,,,,,,,
35,125.431,,,,,,,,,
36,125.4393,,,,,,,,,
37,125.4409,,,,,,,,,
38,125.4372,,,,,,,,,
39,125.4312,,,,,,,,,
40,125.4136,,,,,,,,,
41,125.4387,,,,,,,,,
42,125.4379,,,,,,,,,
43,125.4271,,,,,,,,,
44,125.4307,,,,,,,,,
45,125.4343,,,,,,,,,
46,125.433,,,,,,,,,
47,125.5028,,,,,,,,,
48,125.4192,,,,,,,,,
49,125.4303,,,,,,,,,
50,125.4371,,,,,,,,,
51,125.4334,,,,,,,,,
52,125.4257,,,,,,,,,
53,125.4304,,,,,,,,,
54,125.4296,,,,,,,,,
55,125.4325,,,,,,,,,
56,125.4298,,,,,,,,,
57,125.4242,,,,,,,,,
58,125.4388,,,,,,,,,
59,125.4436,,,,,,,,,
60,125.4532,,,,,,,,,
61,125.4413,,,,,,,,,
62,125.4351,,,,,,,,,
63,125.4278,,,,,,,,,
64,125.4311,,,,,,,,,
65,125.437,,,,,,,,,
66,125.4338,,,,,,,,,
67,125.4359,,,,,,,,,
68,125.4361,,,,,,,,,
69,125.4456,,,,,,,,,
70,125.4235,,,,,,,,,
71,125.4403,,,,,,,,,
72,125.3773,,,,,,,,,
73,125.4345,,,,,,,,,
74,125.4421,,,,,,,,,
75,125.4314,,,,,,,,,
76,125.4305,,,,,,,,,
77,125.4322,,,,,,,,,
78,125.4346,,,,,,,,,
79,125.4258,,,,,,,,,
80,125.4256,,,,,,,,,
81,125.434,,,,,,,,,
82,125.4303,,,,,,,,,
83,125.4295,,,,,,,,,
84,125.4317,,,,,,,,,
85,125.4394,,,,,,,,,
86,125.4327,,,,,,,,,
87,125.4285,,,,,,,,,
88,125.4325,,,,,,,,,
89,125.4579,,,,,,,,,
90,125.4313,,,,,,,,,
91,125.4337,,,,,,,,,
92,125.4203,,,,,,,,,
93,125.4487,,,,,,,,,
94,125.4257,,,,,,,,,
95,125.4335,,,,,,,,,
96,125.4345,,,,,,,,,
97,125.4313,,,,,,,,,
98,125.4247,,,,,,,,,
99,125.4313,,,,,,,,,
100,125.4305,,,,,,,,,
